 ====== APC Propeller Static Thrust VS. RPM Predictions =======



                       105x45.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       2000          0.52          0.01          0.41          0.03          0.08
       3000          1.16          0.04          0.93          0.03          0.08
       4000          2.08          0.10          1.61          0.03          0.08
       5000          3.26          0.20          2.46          0.03          0.08
       6000          4.76          0.37          3.83          0.03          0.08
       7000          6.57          0.62          5.59          0.03          0.08
       8000          8.71          0.99          7.77          0.03          0.08
       9000         11.23          1.50         10.47          0.03          0.09
      10000         14.15          2.16         13.61          0.04          0.09
      11000         17.43          2.82         16.15          0.03          0.09
      12000         21.39          3.79         19.89          0.04          0.09
      13000         26.05          5.88         28.50          0.04          0.10
      13999         30.19          6.90         31.07          0.04          0.10
      15000         33.74          8.64         36.32          0.04          0.09
      16000         37.25         11.87         46.77          0.05          0.09


                       15x7.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.16          0.00          0.14          0.04          0.10
       2000          0.64          0.02          0.57          0.04          0.10
       3000          1.44          0.06          1.25          0.04          0.10
       4000          2.57          0.14          2.20          0.04          0.10
       5000          4.06          0.31          3.92          0.04          0.10
       6000          5.92          0.60          6.30          0.05          0.10
       7000          8.18          1.05          9.46          0.05          0.10
       8000         10.82          1.65         13.02          0.05          0.10
       9000         13.80          2.21         15.51          0.05          0.11
      10000         17.20          2.83         17.83          0.05          0.11
      11000         20.96          3.39         19.41          0.04          0.11
      12000         25.08          4.28         22.47          0.04          0.11
      13000         29.66          6.09         29.55          0.05          0.11
      13999         34.30          8.31         37.42          0.05          0.11
      15000         38.86         13.87         58.26          0.07          0.11


                       15x7E.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.14          0.00          0.12          0.03          0.09
       2000          0.56          0.02          0.48          0.03          0.09
       3000          1.27          0.05          1.09          0.03          0.09
       4000          2.27          0.12          1.86          0.03          0.09
       5000          3.56          0.23          2.86          0.03          0.09
       6000          5.20          0.45          4.75          0.03          0.09
       7000          7.19          0.81          7.30          0.04          0.09
       8000          9.56          1.36         10.68          0.04          0.09
       9000         12.36          2.19         15.31          0.05          0.09
      10000         15.56          3.36         21.18          0.06          0.10
      11000         18.95          4.35         24.94          0.05          0.10
      12000         22.61          5.62         29.52          0.05          0.10
      13000         26.61          7.62         36.95          0.06          0.10
      13999         30.46          7.93         35.69          0.05          0.10
      15000         34.13          9.41         39.56          0.05          0.09


                       15x8.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.17          0.00          0.16          0.04          0.10
       2000          0.67          0.02          0.65          0.04          0.10
       3000          1.51          0.07          1.41          0.04          0.10
       4000          2.70          0.16          2.52          0.04          0.10
       5000          4.29          0.40          5.04          0.05          0.11
       6000          6.27          0.83          8.73          0.06          0.11
       7000          8.68          1.55         13.93          0.07          0.11
       8000         11.44          2.47         19.48          0.08          0.11
       9000         14.37          3.09         21.62          0.07          0.11
      10000         17.61          3.61         22.73          0.06          0.11
      11000         21.13          3.82         21.91          0.05          0.11
      12000         25.16          4.61         24.18          0.04          0.11
      13000         29.73          7.42         35.97          0.06          0.11
      13999         34.37          8.84         39.79          0.05          0.11


                       15x8E.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.15          0.00          0.14          0.04          0.09
       2000          0.60          0.02          0.55          0.04          0.09
       3000          1.35          0.06          1.23          0.04          0.09
       4000          2.39          0.13          2.10          0.03          0.09
       5000          3.75          0.25          3.20          0.03          0.09
       6000          5.49          0.56          5.91          0.04          0.09
       7000          7.60          1.08          9.76          0.05          0.10
       8000         10.08          1.92         15.10          0.06          0.10
       9000         12.94          3.21         22.50          0.07          0.10
      10000         16.16          5.00         31.54          0.08          0.10
      11000         19.41          6.14         35.17          0.08          0.10
      12000         22.99          7.53         39.52          0.07          0.10
      13000         26.85          9.41         45.63          0.07          0.10
      13999         30.64          8.97         40.38          0.05          0.10
      15000         34.46         10.19         42.82          0.05          0.09


                       165x12.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.21          0.00          0.26          0.04          0.09
       2000          0.84          0.03          1.05          0.04          0.09
       3000          1.89          0.10          2.21          0.04          0.09
       4000          3.35          0.23          3.69          0.04          0.09
       5000          5.40          0.88         11.10          0.07          0.09
       6000          7.98          2.18         22.90          0.10          0.09
       7000         11.14          4.47         40.28          0.13          0.10
       8000         14.82          7.91         62.33          0.16          0.10
       9000         18.25          9.06         63.43          0.13          0.10
      10000         21.96          9.55         60.19          0.10          0.09
      11000         25.97          9.86         56.52          0.08          0.09
      12000         30.45         10.07         52.89          0.06          0.09


                       165x12W.dat                

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.25          0.00          0.32          0.05          0.11
       2000          1.00          0.04          1.28          0.05          0.11
       3000          2.23          0.12          2.56          0.05          0.10
       4000          4.07          0.47          7.46          0.08          0.11
       5000          6.58          1.39         17.55          0.11          0.11
       6000          9.74          3.14         33.04          0.15          0.11
       7000         13.27          5.08         45.72          0.15          0.11
       8000         16.78          5.63         44.32          0.11          0.11
       9000         20.56          5.27         36.88          0.07          0.11
      10000         24.81          4.54         28.59          0.05          0.11
      11000         30.22          8.02         45.97          0.06          0.11
      12000         36.19         12.32         64.69          0.07          0.11


                       165x13.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.21          0.00          0.28          0.04          0.09
       2000          0.84          0.04          1.11          0.04          0.09
       3000          1.89          0.11          2.30          0.04          0.09
       4000          3.35          0.24          3.83          0.04          0.09
       5000          5.43          0.98         12.34          0.08          0.09
       6000          8.06          2.47         25.94          0.12          0.09
       7000         11.29          5.10         45.94          0.15          0.10
       8000         15.06          9.04         71.23          0.18          0.10
       9000         18.47         10.25         71.78          0.14          0.10
      10000         22.13         10.63         67.02          0.11          0.09
      11000         26.08         10.76         61.65          0.08          0.09


                       165x13W.dat                

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.25          0.00          0.33          0.05          0.11
       2000          1.00          0.04          1.33          0.05          0.11
       3000          2.23          0.12          2.62          0.05          0.11
       4000          4.10          0.52          8.23          0.08          0.11
       5000          6.66          1.59         20.03          0.13          0.11
       6000          9.90          3.63         38.11          0.17          0.12
       7000         13.49          5.84         52.61          0.17          0.12
       8000         16.97          6.33         49.90          0.13          0.11
       9000         20.69          5.72         40.02          0.08          0.11
      10000         24.89          4.64         29.21          0.05          0.11
      11000         30.30          8.19         46.90          0.06          0.11


                       165x14.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.21          0.00          0.29          0.05          0.09
       2000          0.84          0.04          1.15          0.05          0.09
       3000          1.89          0.11          2.38          0.04          0.09
       4000          3.35          0.25          3.93          0.04          0.09
       5000          5.46          1.07         13.52          0.09          0.09
       6000          8.15          2.75         28.90          0.13          0.10
       7000         11.45          5.73         51.58          0.17          0.10
       8000         15.30         10.15         80.00          0.20          0.10
       9000         18.70         11.40         79.84          0.16          0.10
      10000         22.30         11.61         73.16          0.12          0.09
      11000         26.17         11.77         67.44          0.09          0.09
      12000         30.52         10.80         56.71          0.06          0.09


                       165x5W.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.20          0.00          0.19          0.03          0.09
       2000          0.81          0.02          0.74          0.03          0.09
       3000          1.84          0.08          1.59          0.03          0.09
       4000          3.29          0.19          2.94          0.03          0.09
       5000          5.20          0.38          4.82          0.03          0.09
       6000          7.58          0.69          7.25          0.03          0.09
       7000         10.43          1.08          9.71          0.03          0.09
       8000         13.79          1.57         12.33          0.03          0.09
       9000         17.74          2.19         15.33          0.03          0.09
      10000         22.46          3.09         19.50          0.03          0.10
      11000         28.44          4.47         25.61          0.03          0.10
      12000         36.04          7.41         38.92          0.04          0.11
      13000         42.62         10.74         52.07          0.05          0.11
      13999         48.23         14.08         63.37          0.05          0.10


                       16x10.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.22          0.00          0.26          0.05          0.11
       2000          0.90          0.03          1.03          0.05          0.11
       3000          2.02          0.10          2.14          0.04          0.11
       4000          3.64          0.32          5.01          0.06          0.11
       5000          5.82          0.86         10.87          0.08          0.11
       6000          8.54          1.87         19.67          0.10          0.11
       7000         11.74          3.30         29.72          0.11          0.11
       8000         15.04          3.96         31.19          0.09          0.11
       9000         18.66          4.25         29.74          0.07          0.11
      10000         22.58          3.78         23.85          0.04          0.11
      11000         27.39          5.70         32.64          0.05          0.11
      12000         32.82          9.64         50.62          0.07          0.11
      13000         38.58         12.84         62.26          0.07          0.11


                       16x10E.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.20          0.00          0.21          0.04          0.09
       2000          0.79          0.03          0.86          0.04          0.10
       3000          1.78          0.09          1.87          0.04          0.09
       4000          3.17          0.20          3.11          0.04          0.09
       5000          5.02          0.51          6.46          0.05          0.10
       6000          7.39          1.22         12.79          0.07          0.10
       7000         10.25          2.45         22.02          0.08          0.10
       8000         13.65          4.45         35.08          0.10          0.10
       9000         17.39          6.84         47.87          0.11          0.10
      10000         21.11          7.99         50.35          0.09          0.10
      11000         25.14          8.92         51.10          0.08          0.10
      12000         29.41          9.30         48.85          0.06          0.10
      13999         39.25         12.69         57.13          0.05          0.10
      15000         45.47         21.79         91.54          0.08          0.10


                       16x11.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.23          0.00          0.27          0.05          0.11
       2000          0.90          0.04          1.09          0.05          0.11
       3000          2.03          0.11          2.23          0.05          0.11
       4000          3.67          0.36          5.62          0.07          0.11
       5000          5.89          1.02         12.81          0.10          0.11
       6000          8.69          2.26         23.77          0.12          0.12
       7000         11.95          4.00         36.01          0.14          0.12
       8000         15.21          4.66         36.71          0.11          0.11
       9000         18.77          4.78         33.50          0.08          0.11
      10000         22.57          3.91         24.67          0.05          0.11
      11000         27.40          6.05         34.63          0.05          0.11
      12000         32.89         10.53         55.30          0.07          0.11


                       16x12.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.23          0.00          0.29          0.05          0.11
       2000          0.91          0.04          1.16          0.05          0.11
       3000          2.03          0.11          2.34          0.05          0.11
       4000          3.70          0.41          6.38          0.07          0.11
       5000          5.98          1.21         15.28          0.12          0.11
       6000          8.86          2.76         28.95          0.15          0.12
       7000         12.21          4.89         44.03          0.17          0.12
       8000         15.42          5.54         43.63          0.13          0.12
       9000         18.89          5.45         38.19          0.09          0.11
      10000         22.57          4.08         25.70          0.05          0.11
      11000         27.45          6.70         38.38          0.06          0.11
      12000         32.91         10.86         57.07          0.07          0.11


                       16x12E.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.20          0.00          0.24          0.05          0.10
       2000          0.80          0.03          0.97          0.05          0.10
       3000          1.80          0.10          2.09          0.04          0.10
       4000          3.19          0.22          3.40          0.04          0.10
       5000          5.09          0.63          8.01          0.06          0.10
       6000          7.55          1.64         17.27          0.09          0.10
       7000         10.56          3.42         30.80          0.12          0.10
       8000         14.14          6.35         50.03          0.15          0.11
       9000         18.02          9.71         67.98          0.16          0.11
      10000         21.66         10.94         68.96          0.13          0.10
      11000         25.55         11.74         67.26          0.10          0.10
      12000         29.64         11.61         60.95          0.08          0.10
      13999         39.55         14.47         65.13          0.06          0.10


                       16x13.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.23          0.00          0.30          0.06          0.11
       2000          0.91          0.04          1.22          0.06          0.11
       3000          2.04          0.12          2.43          0.05          0.11
       4000          3.72          0.44          6.93          0.08          0.11
       5000          6.04          1.36         17.14          0.13          0.12
       6000          8.98          3.13         32.84          0.17          0.12
       7000         12.40          5.55         49.92          0.19          0.12
       8000         15.59          6.19         48.77          0.14          0.12
       9000         19.01          5.96         41.74          0.10          0.11
      10000         22.60          4.21         26.53          0.05          0.11
      11000         27.49          6.91         39.58          0.06          0.11
      12000         32.99         11.42         59.98          0.08          0.11
      13000         38.81         15.14         73.41          0.08          0.11


                       16x13N.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.18          0.00          0.23          0.05          0.09
       2000          0.73          0.03          0.94          0.05          0.09
       3000          1.63          0.10          2.01          0.04          0.09
       4000          2.89          0.20          3.20          0.04          0.09
       5000          4.64          0.70          8.87          0.07          0.09
       6000          6.91          1.91         20.06          0.11          0.09
       7000          9.69          4.06         36.53          0.14          0.10
       8000         13.02          7.61         59.94          0.18          0.10
       9000         16.47         10.96         76.74          0.18          0.10
      10000         19.71         11.98         75.52          0.15          0.10
      11000         23.22         12.87         73.75          0.12          0.09
      12000         26.92         12.94         67.93          0.09          0.09


                       16x14.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.23          0.00          0.31          0.06          0.11
       2000          0.91          0.04          1.25          0.06          0.11
       3000          2.04          0.12          2.46          0.05          0.11
       4000          3.73          0.47          7.45          0.09          0.11
       5000          6.09          1.51         19.01          0.14          0.12
       6000          9.10          3.51         36.86          0.19          0.12
       7000         12.58          6.23         56.06          0.22          0.12
       8000         15.75          6.86         54.03          0.16          0.12
       9000         19.12          6.42         44.97          0.10          0.11
      10000         22.64          4.25         26.79          0.05          0.11
      11000         27.42          5.90         33.78          0.05          0.11
      12000         33.04         11.61         60.98          0.08          0.11
      13000         38.56         12.24         59.37          0.07          0.11
      13999         46.33         30.01        135.08          0.13          0.11


                       16x14N.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.18          0.00          0.25          0.05          0.09
       2000          0.73          0.03          1.01          0.05          0.09
       3000          1.63          0.10          2.15          0.05          0.09
       4000          2.89          0.21          3.38          0.04          0.09
       5000          4.67          0.80         10.04          0.08          0.09
       6000          7.00          2.22         23.35          0.13          0.10
       7000          9.87          4.78         42.99          0.17          0.10
       8000         13.32          8.99         70.81          0.21          0.10
       9000         16.85         12.91         90.44          0.22          0.10
      10000         20.05         13.98         88.11          0.17          0.10
      11000         23.50         14.92         85.50          0.14          0.10
      12000         27.09         14.54         76.36          0.10          0.09
      13000         31.06         13.04         63.22          0.07          0.09


                       16x15.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.23          0.00          0.33          0.06          0.11
       2000          0.91          0.04          1.32          0.06          0.11
       3000          2.04          0.12          2.58          0.05          0.11
       4000          3.75          0.51          8.03          0.09          0.11
       5000          6.15          1.65         20.76          0.16          0.12
       6000          9.22          3.84         40.38          0.21          0.12
       7000         12.76          6.83         61.48          0.24          0.12
       8000         15.90          7.49         58.97          0.17          0.12
       9000         19.22          6.94         48.63          0.11          0.11
      10000         22.64          4.44         28.00          0.05          0.11
      11000         27.57          7.45         42.71          0.07          0.11
      12000         33.22         13.41         70.45          0.09          0.11
      13000         38.93         16.09         78.02          0.09          0.11


                       16x16.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.23          0.00          0.34          0.06          0.11
       2000          0.91          0.04          1.37          0.06          0.11
       3000          2.04          0.13          2.65          0.06          0.11
       4000          3.77          0.55          8.60          0.10          0.11
       5000          6.21          1.80         22.64          0.17          0.12
       6000          9.34          4.22         44.31          0.23          0.12
       7000         12.94          7.49         67.49          0.26          0.13
       8000         16.05          8.15         64.23          0.19          0.12
       9000         19.31          7.45         52.19          0.12          0.11
      10000         22.64          4.57         28.78          0.05          0.11
      11000         27.58          7.66         43.91          0.07          0.11
      13000         38.98         16.81         81.51          0.09          0.11


                       16x4E.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.12          0.00          0.09          0.02          0.06
       2000          0.49          0.01          0.38          0.02          0.06
       3000          1.10          0.04          0.83          0.02          0.06
       4000          1.96          0.09          1.39          0.02          0.06
       5000          3.08          0.17          2.13          0.02          0.06
       6000          4.48          0.29          3.07          0.02          0.06
       7000          6.18          0.47          4.20          0.02          0.06
       8000          8.18          0.71          5.56          0.02          0.06
       9000         10.53          1.02          7.14          0.02          0.06
      10000         13.27          1.42          8.97          0.02          0.06
      11000         16.50          1.95         11.17          0.02          0.07
      12000         20.86          2.82         14.83          0.02          0.07
      13000         26.44          4.51         21.84          0.02          0.07
      13999         30.97          6.42         28.90          0.03          0.08
      15000         33.53          8.11         34.07          0.03          0.07


                       16x4W.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.15          0.00          0.13          0.03          0.07
       2000          0.60          0.02          0.52          0.02          0.07
       3000          1.36          0.05          1.06          0.02          0.07
       4000          2.42          0.12          1.84          0.02          0.07
       5000          3.81          0.22          2.82          0.02          0.07
       6000          5.54          0.38          4.05          0.02          0.07
       7000          7.65          0.62          5.57          0.02          0.07
       8000         10.13          0.94          7.40          0.02          0.08
       9000         13.05          1.37          9.58          0.02          0.08
      10000         16.47          1.94         12.21          0.02          0.08
      11000         20.53          2.69         15.42          0.02          0.08
      12000         25.78          3.82         20.03          0.03          0.09
      13000         33.95          6.80         32.99          0.04          0.10
      13999         39.62         10.14         45.64          0.04          0.10
      15000         43.11         13.60         57.13          0.05          0.09


                       16x55MR.dat                

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.19          0.00          0.17          0.03          0.09
       2000          0.75          0.02          0.67          0.03          0.09
       3000          1.69          0.07          1.44          0.03          0.09
       4000          3.02          0.16          2.55          0.03          0.09
       5000          4.76          0.33          4.13          0.03          0.09
       6000          6.93          0.59          6.18          0.03          0.09
       7000          9.56          0.97          8.75          0.03          0.09
       8000         12.62          1.43         11.28          0.03          0.09
       9000         16.17          2.01         14.06          0.03          0.10
      10000         20.30          2.73         17.20          0.03          0.10
      11000         25.18          3.71         21.24          0.03          0.10
      12000         31.24          5.14         27.01          0.04          0.10
      13000         39.01          7.98         38.67          0.04          0.11
      13999         44.58         10.63         47.85          0.05          0.11


                       16x6.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.18          0.00          0.16          0.03          0.09
       2000          0.73          0.02          0.65          0.03          0.09
       3000          1.64          0.07          1.41          0.03          0.09
       4000          2.93          0.16          2.56          0.03          0.09
       5000          4.63          0.34          4.23          0.03          0.09
       6000          6.75          0.61          6.40          0.03          0.09
       7000          9.31          1.00          8.97          0.03          0.09
       8000         12.30          1.44         11.33          0.03          0.09
       9000         15.79          2.00         13.98          0.03          0.09
      10000         19.89          2.70         17.01          0.03          0.10
      11000         24.93          3.80         21.79          0.03          0.10
      12000         31.42          5.97         31.36          0.04          0.10
      13000         37.61          9.22         44.69          0.05          0.11
      13999         43.05         12.44         56.01          0.05          0.11


                       16x6E.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.16          0.00          0.13          0.03          0.08
       2000          0.64          0.02          0.54          0.03          0.08
       3000          1.45          0.06          1.19          0.02          0.08
       4000          2.58          0.13          2.04          0.02          0.08
       5000          4.07          0.26          3.30          0.02          0.08
       6000          5.94          0.48          5.03          0.03          0.08
       7000          8.21          0.80          7.24          0.03          0.08
       8000         10.91          1.26          9.97          0.03          0.08
       9000         14.05          1.85         12.95          0.03          0.08
      10000         17.67          2.49         15.71          0.03          0.08
      11000         21.97          3.32         19.02          0.03          0.09
      12000         27.54          4.98         26.16          0.03          0.09
      13000         32.99          6.97         33.80          0.04          0.09
      13999         37.72          9.55         43.01          0.04          0.09
      15000         41.85         12.39         52.07          0.04          0.09


                       16x7.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.20          0.00          0.19          0.04          0.10
       2000          0.80          0.02          0.75          0.04          0.10
       3000          1.80          0.08          1.62          0.03          0.10
       4000          3.22          0.20          3.09          0.04          0.10
       5000          5.11          0.43          5.41          0.04          0.10
       6000          7.46          0.82          8.58          0.04          0.10
       7000         10.29          1.36         12.26          0.05          0.10
       8000         13.54          1.88         14.83          0.04          0.10
       9000         17.32          2.48         17.40          0.04          0.10
      10000         21.71          3.14         19.81          0.04          0.10
      11000         27.17          4.44         25.42          0.04          0.11
      12000         32.72          7.04         36.96          0.05          0.11
      13000         38.15          9.05         43.90          0.05          0.11


                       16x7E(3D).dat              

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.17          0.00          0.16          0.03          0.08
       2000          0.70          0.02          0.65          0.03          0.08
       3000          1.58          0.07          1.39          0.03          0.08
       4000          2.83          0.15          2.40          0.03          0.08
       5000          4.42          0.33          4.17          0.03          0.08
       6000          6.38          0.63          6.64          0.03          0.08
       7000          8.73          1.10          9.92          0.04          0.09
       8000         11.50          1.84         14.46          0.04          0.09
       9000         14.84          2.69         18.86          0.04          0.09
      10000         18.85          3.58         22.57          0.04          0.09
      11000         23.78          4.68         26.80          0.04          0.09
      12000         28.87          6.09         32.00          0.04          0.10


                       16x8.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.21          0.00          0.22          0.04          0.10
       2000          0.85          0.03          0.86          0.04          0.10
       3000          1.91          0.09          1.84          0.04          0.10
       4000          3.44          0.23          3.67          0.04          0.10
       5000          5.45          0.54          6.81          0.05          0.10
       6000          7.98          1.07         11.28          0.06          0.11
       7000         11.02          1.85         16.62          0.06          0.11
       8000         14.41          2.47         19.44          0.06          0.11
       9000         18.27          3.08         21.55          0.05          0.11
      10000         22.50          3.48         21.96          0.04          0.11
      11000         27.35          4.92         28.18          0.04          0.11
      12000         32.71          8.01         42.08          0.06          0.11
      13000         38.38         11.31         54.81          0.06          0.11
      13999         44.26         17.22         77.54          0.07          0.11


                       16x8E.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.19          0.00          0.18          0.03          0.09
       2000          0.76          0.02          0.71          0.03          0.09
       3000          1.70          0.08          1.58          0.03          0.09
       4000          3.03          0.17          2.69          0.03          0.09
       5000          4.79          0.38          4.78          0.04          0.09
       6000          7.03          0.78          8.22          0.04          0.09
       7000          9.74          1.45         13.06          0.05          0.10
       8000         12.97          2.52         19.85          0.06          0.10
       9000         16.59          3.89         27.23          0.06          0.10
      10000         20.39          4.94         31.11          0.06          0.10
      11000         24.59          6.02         34.47          0.05          0.10
      12000         29.18          7.30         38.32          0.05          0.10
      13000         33.94          8.29         40.19          0.04          0.10
      13999         38.75         11.26         50.67          0.05          0.09


                       175x18.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.26          0.01          0.46          0.05          0.09
       2000          1.06          0.06          1.83          0.06          0.09
       3000          2.37          0.18          3.70          0.05          0.09
       4000          4.19          0.36          5.66          0.04          0.09
       5000          7.01          1.97         24.83          0.12          0.09
       6000         10.68          5.34         56.14          0.19          0.10
       7000         15.24         11.36        102.31          0.25          0.10
       8000         20.76         21.05        165.84          0.31          0.11
       9000         24.95         23.56        164.96          0.24          0.10
      10000         29.61         27.33        172.27          0.21          0.10
      11000         33.63         21.13        121.08          0.12          0.09
      12000         38.06         17.18         90.25          0.08          0.09


                       17x10.dat                  

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.28          0.00          0.32          0.05          0.11
       2000          1.13          0.04          1.28          0.05          0.11
       3000          2.53          0.13          2.66          0.04          0.11
       4000          4.61          0.46          7.17          0.06          0.11
       5000          7.34          1.16         14.57          0.08          0.11
       6000         10.76          2.43         25.52          0.10          0.11
       7000         14.41          3.10         27.88          0.08          0.11
       8000         18.52          3.48         27.45          0.06          0.11
       9000         23.13          3.53         24.71          0.04          0.11
      10000         28.66          4.94         31.13          0.04          0.11
      11000         35.00          8.71         49.88          0.06          0.11
      12000         42.03         14.82         77.85          0.08          0.11


                       17x10E.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.25          0.00          0.27          0.04          0.09
       2000          0.99          0.04          1.10          0.04          0.09
       3000          2.23          0.11          2.35          0.04          0.09
       4000          3.97          0.27          4.29          0.04          0.09
       5000          6.34          0.77          9.67          0.05          0.10
       6000          9.30          1.71         17.94          0.07          0.10
       7000         12.89          3.34         30.03          0.09          0.10
       8000         16.93          5.32         41.95          0.09          0.10
       9000         21.12          6.38         44.65          0.08          0.10
      10000         25.70          7.02         44.23          0.06          0.10
      11000         30.73          7.87         45.08          0.05          0.10
      12000         36.42          9.40         49.40          0.05          0.10
      13000         42.45         12.87         62.40          0.05          0.10
      13999         49.10         17.30         77.89          0.06          0.10


                       17x10N.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.25          0.00          0.29          0.04          0.09
       2000          0.98          0.04          1.17          0.04          0.09
       3000          2.20          0.11          2.40          0.04          0.09
       4000          3.95          0.35          5.57          0.05          0.09
       5000          6.34          1.06         13.35          0.07          0.10
       6000          9.35          2.42         25.41          0.10          0.10
       7000         12.99          4.78         43.00          0.12          0.10
       8000         16.64          5.90         46.46          0.10          0.10
       9000         20.58          6.36         44.55          0.08          0.10
      10000         24.82          5.82         36.67          0.05          0.09
      11000         29.90          7.89         45.23          0.05          0.09
      13000         42.03         17.31         83.90          0.07          0.09


                       17x10WE.dat                

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.29          0.00          0.34          0.05          0.11
       2000          1.17          0.04          1.34          0.05          0.11
       3000          2.63          0.13          2.81          0.04          0.11
       4000          4.78          0.44          6.86          0.06          0.11
       5000          7.62          1.07         13.51          0.08          0.12
