 ====== APC Propeller Static Thrust VS. RPM Predictions =======



                       105x45.dat                 

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

      13000          7.13          1.00          4.84          0.06          0.13
      13999          8.33          1.25          5.61          0.06          0.13
      15000          9.67          1.54          6.48          0.06          0.13
      16000         11.14          1.89          7.44          0.06          0.14
      17000         12.77          2.30          8.52          0.06          0.14
      18000         14.61          2.81          9.84          0.06          0.14
      19000         16.77          3.48         11.53          0.06          0.15
      20000         19.05          4.24         13.35          0.07          0.15


                       10x4.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.03          0.00          0.02          0.04          0.10
       2000          0.12          0.00          0.07          0.04          0.10
       3000          0.28          0.01          0.17          0.04          0.10
       5000          0.78          0.04          0.46          0.04          0.10
       6000          1.12          0.06          0.64          0.04          0.10
       7000          1.53          0.10          0.86          0.03          0.10
       8000          2.01          0.14          1.14          0.04          0.10
       9000          2.57          0.22          1.52          0.04          0.10
      10000          3.20          0.31          1.96          0.04          0.10
      11000          3.91          0.43          2.47          0.04          0.10
      12000          4.70          0.58          3.07          0.04          0.10
      13000          5.58          0.78          3.76          0.04          0.10
      13999          6.56          1.01          4.55          0.05          0.10
      15000          7.64          1.30          5.46          0.05          0.11
      16000          8.80          1.57          6.16          0.05          0.11
      17000         10.08          1.86          6.91          0.05          0.11
      18000         11.56          2.23          7.80          0.05          0.11
      19000         13.47          2.85          9.44          0.05          0.12
      20000         15.38          3.98         12.55          0.06          0.12
      21000         16.88          4.64         13.92          0.06          0.12
      22000         18.06          5.36         15.36          0.06          0.12
      23000         19.08          5.84         16.00          0.06          0.11
      24000         19.97          7.06         18.53          0.06          0.11


                       10x45MR.dat                

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       2000          0.14          0.00          0.09          0.04          0.11
       3000          0.32          0.01          0.20          0.04          0.11
       4000          0.57          0.02          0.36          0.04          0.11
       5000          0.90          0.04          0.56          0.04          0.11
       6000          1.29          0.08          0.79          0.04          0.11
       7000          1.76          0.12          1.06          0.04          0.11
       8000          2.31          0.17          1.37          0.04          0.11
       9000          2.95          0.26          1.86          0.05          0.11
      10000          3.67          0.39          2.46          0.05          0.12
      11000          4.49          0.55          3.17          0.05          0.12
      12000          5.40          0.77          4.02          0.06          0.12
      13000          6.41          1.03          5.02          0.06          0.12
      13999          7.52          1.38          6.20          0.06          0.12
      15000          8.74          1.80          7.58          0.07          0.12
      16000         10.08          2.34          9.20          0.07          0.12
      17000         11.47          2.75         10.21          0.07          0.12
      18000         13.00          3.24         11.36          0.07          0.13
      19000         14.81          3.93         13.03          0.07          0.13
      20000         16.57          5.37         16.92          0.08          0.13
      21000         18.17          5.54         16.63          0.07          0.13
      22000         19.58          5.99         17.16          0.07          0.13
      23000         20.87          5.98         16.38          0.06          0.12


                       10x45MRF-RH.dat            

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.04          0.00          0.02          0.05          0.11
       2000          0.14          0.00          0.10          0.05          0.11
       3000          0.32          0.01          0.22          0.05          0.11
       4000          0.58          0.02          0.38          0.05          0.11
       5000          0.91          0.05          0.60          0.05          0.11
       6000          1.31          0.08          0.83          0.05          0.11
       7000          1.79          0.12          1.10          0.04          0.11
       8000          2.34          0.18          1.41          0.04          0.11
       9000          2.98          0.26          1.79          0.04          0.12
      10000          3.70          0.36          2.24          0.04          0.12
      11000          4.52          0.47          2.71          0.04          0.12
      12000          5.42          0.63          3.29          0.05          0.12
      13000          6.43          0.80          3.90          0.05          0.12
      14000          7.54          1.00          4.50          0.05          0.12
      15000          8.77          1.24          5.19          0.05          0.12
      16000         10.14          1.52          5.99          0.05          0.12
      17000         11.67          1.86          6.89          0.05          0.13
      18000         13.51          2.30          8.05          0.05          0.13


                       10x46SF.dat                

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.03          0.00          0.02          0.04          0.11
       2000          0.14          0.00          0.09          0.05          0.11
       3000          0.31          0.01          0.21          0.05          0.11
       4000          0.55          0.02          0.36          0.04          0.11
       5000          0.87          0.05          0.57          0.04          0.11
       6000          1.25          0.08          0.82          0.04          0.11
       7000          1.71          0.12          1.12          0.05          0.11
       8000          2.24          0.17          1.37          0.04          0.11
       9000          2.83          0.25          1.72          0.04          0.11
      10000          3.50          0.34          2.13          0.04          0.11
      11000          4.27          0.46          2.64          0.04          0.11
      12000          5.14          0.61          3.20          0.04          0.11
      13000          6.09          0.78          3.77          0.04          0.11
      14000          7.15          0.98          4.39          0.04          0.11
      15000          8.33          1.17          4.92          0.04          0.12
      16000          9.62          1.47          5.79          0.04          0.12


                       10x47SF.dat                

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       2000          0.18          0.00          0.13          0.06          0.14
       3000          0.41          0.01          0.29          0.06          0.14
       4000          0.72          0.03          0.51          0.06          0.14
       5000          1.13          0.06          0.80          0.06          0.14
       6000          1.62          0.11          1.13          0.06          0.14
       7000          2.21          0.18          1.60          0.06          0.14
       8000          2.90          0.28          2.18          0.07          0.14
       9000          3.71          0.41          2.87          0.07          0.14
      10000          4.64          0.59          3.71          0.07          0.15
      11000          5.69          0.82          4.71          0.08          0.15
      12000          6.83          1.10          5.79          0.08          0.15
      13000          8.03          1.37          6.63          0.08          0.15
      13999          9.37          1.68          7.55          0.08          0.15
      15000         10.86          2.03          8.54          0.07          0.15
      16000         12.46          2.41          9.51          0.07          0.15
      17000         14.19          2.82         10.45          0.07          0.15
      18000         16.13          3.35         11.74          0.07          0.16
      19000         18.14          4.03         13.35          0.07          0.16
      20000         20.04          4.80         15.14          0.07          0.16


                       10x5.dat                   

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       1000          0.04          0.00          0.02          0.04          0.11
       2000          0.14          0.00          0.09          0.04          0.11
       3000          0.31          0.01          0.20          0.04          0.11
       4000          0.56          0.02          0.36          0.04          0.11
       5000          0.87          0.04          0.55          0.04          0.11
       6000          1.25          0.07          0.78          0.04          0.11
       7000          1.71          0.12          1.04          0.04          0.11
       8000          2.24          0.18          1.42          0.04          0.11
       9000          2.87          0.28          1.99          0.05          0.11
      10000          3.58          0.43          2.69          0.05          0.11
      11000          4.38          0.62          3.54          0.06          0.11
      12000          5.28          0.87          4.57          0.06          0.12
      13000          6.27          1.20          5.83          0.07          0.12
      13999          7.37          1.63          7.34          0.07          0.12
      15000          8.58          2.19          9.21          0.08          0.12
      16000          9.82          2.61         10.28          0.08          0.12
      17000         11.14          3.05         11.32          0.08          0.12
      18000         12.60          3.61         12.65          0.08          0.12
      19000         14.22          5.13         17.02          0.09          0.12
      20000         15.74          5.91         18.64          0.09          0.12
      21000         17.09          5.63         16.90          0.08          0.12
      23000         19.66          7.15         19.60          0.07          0.12


                       10x55MR.dat                

        RPM         THRUST        POWER        TORQUE          Cp            Ct
                    (LBF)         (HP)        (IN-LBF)

       2000          0.15          0.00          0.10          0.05          0.12
       3000          0.35          0.01          0.23          0.05          0.12
       4000          0.62          0.03          0.42          0.05          0.12
       5000          0.96          0.05          0.65          0.05          0.12
       6000          1.38          0.09          0.92          0.05          0.12
