105x45                                  1000     23000
105x6                                   1000     19000
10x10                                   1000     18000
10x10E                                  1000     22000
10x3                                    1000     24000
10x38SF                                 2000     20000
10x4                                    1000     24000
10x45MR                                 2000     23000
10x45MRF-RH                             1000     18000
10x46SF                                 1000     16000
10x47SF                                 2000     20000
10x5                                    1000     23000
10x55MR                                 2000     23000
10x58EP(F2B)                            1000     23000
10x5E                                   1000     21000
10x6-4                                  1000     22000
10x6                                    1000     20000
10x6E                                   1000     23000
10x6F                                   1000     24000
10x7-3                                  1000     22000
10x7                                    1000     21000
10x7E                                   1000     24000
10x7SF                                  2000     19000
10x8                                    1000     20000
10x8E                                   1000     22000
10x9                                    1000     19000
115x125N                                1000     19000
115x4                                   1000     21000
115x6                                   1000     19000
11x10                                   1000     17000
11x10E                                  1000     21000
11x11                                   1000     17000
11x12                                   1000     19000
11x12E                                  1000     16000
11x12W                                  1000     16000
11x13                                   1000     16000
11x14                                   1000     19000
11x3                                    1000     22000
11x38SF                                 2000     18000
11x4                                    1000     22000
11x45EP                                 1000     22000
11x45MR                                 2000     22000
11x46SF                                 1000     14000
11x47SF                                 2000     18000
11x5                                    1000     20000
11x55E                                  1000     22000
11x55MR                                 2000     21000
11x6-4                                  1000     21000
11x6                                    1000     22000
11x7                                    1000     21000
11x7E-3                                 1000     15000
11x7E                                   1000     20000
11x7SF                                  2000     17000
11x8                                    1000     21000
11x85E                                  1000     21000
11x8E                                   1000     20000
11x8F                                   1000     21000
11x9-4                                  1000     20000
11x9                                    1000     22000
1225x375                                1000     20000
125x10                                  1000     17000
125x11                                  1000     15000
125x115                                 1000     13999
125x12                                  1000     15000
125x125                                 1000     18000
125x13                                  1000     18000
125x6                                   1000     17000
125x9                                   1000     17000
12x10                                   1000     16000
12x10E                                  1000     18000
12x10W                                  1000     16000
12x11                                   1000     17000
12x115                                  1000     16000
12x11N                                  1000     15000
12x12                                   1000     15000
12x125                                  1000     18000
12x12E                                  1000     16000
12x12N                                  1000     18000
12x13                                   1000     18000
12x13N                                  1000     16000
12x14                                   1000     16000
12x38SF                                 2000     17000
12x4                                    1000     20000
12x45MR                                 2000     20000
